"API","formation","BasinName","StateName","CountyName","LatWGS84","LonWGS84","BottomHoleLatitude","BottomHoleLongitude","CongMeridianName","OPERATOR","formation_alias","operator_alias"
"30015391420000","DELAWARE","PERMIAN BASIN","NEW MEXICO","EDDY",32.269370104,-103.974874667,"32.2821","-103.97469","NEW MEXICO 1855","OXY USA INC","DELAWARE","OXY"
"30015405920000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.630253093,-104.071752397,"32.62985","-104.08683","NEW MEXICO 1855","DEVON ENERGY PRODUCTION COMPANY L P","BONE SPRING","DEVON"
"30015376890000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.123478258,-104.394275954,"32.13647","-104.39319","NEW MEXICO 1855","COG OPERATING LIMITED LIABILITY CORP","BONE SPRING","CONCHO"
"30015384340000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.167212259,-103.764436273,"32.17913","-103.76398","NEW MEXICO 1855","DEVON ENERGY PRODUCTION COMPANY L P","BONE SPRING","DEVON"
"30015394150000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.53628257,-104.190587334,"32.52346","-104.18991","NEW MEXICO 1855","MEWBOURNE OIL COMPANY","BONE SPRING","MEWBOURNE"
"30015405090000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.638449044,-104.087901225,"32.63798","-104.07193","NEW MEXICO 1855","DEVON ENERGY PRODUCTION COMPANY L P","BONE SPRING","DEVON"
"30015409690000","YESO UPPER / GLORIETA","PERMIAN BASIN","NEW MEXICO","EDDY",32.841125886,-104.035351952,"32.84074","-104.02036","NEW MEXICO 1855","COG OPERATING LIMITED LIABILITY CORP","YESO UPPER / GLORIETA","CONCHO"
"30015375110000","DELAWARE","PERMIAN BASIN","NEW MEXICO","EDDY",32.408774465,-103.741102223,"32.40849","-103.75547","NEW MEXICO 1855","EOG Y RESOURCES INC","DELAWARE","EOG"
"30025401050000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","LEA",32.152528668,-103.719746121,"32.16546","-103.71725","NEW MEXICO 1855","DEVON ENERGY PRODUCTION COMPANY L P","BONE SPRING","DEVON"
"30015406830000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.511570034,-104.1691245,"32.51005","-104.18459","NEW MEXICO 1855","DEVON ENERGY PRODUCTION COMPANY L P","BONE SPRING","DEVON"
"30015393860100","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.63709384,-104.089571226,"32.63779","-104.10405","NEW MEXICO 1855","DEVON ENERGY PRODUCTION COMPANY L P","BONE SPRING","DEVON"
"30015374790000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.030788873,-104.360477229,"32.01776","-104.35994","NEW MEXICO 1855","COG OPERATING LIMITED LIABILITY CORP","BONE SPRING","CONCHO"
"30015415320000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.049141597,-104.085825409,"32.03579","-104.08465","NEW MEXICO 1855","COG OPERATING LIMITED LIABILITY CORP","BONE SPRING","CONCHO"
"30025409120100","DELAWARE","PERMIAN BASIN","NEW MEXICO","LEA",32.037031154,-103.416198397,"32.06191","-103.41634","NEW MEXICO 1855","DEVON ENERGY PRODUCTION COMPANY L P","DELAWARE","DEVON"
"30015374680000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.077045468,-104.119103546,"32.07686","-104.13369","NEW MEXICO 1855","COG OPERATING LIMITED LIABILITY CORP","BONE SPRING","CONCHO"
"30015390600000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.094248826,-104.099704129,"32.10713","-104.09915","NEW MEXICO 1855","COG OPERATING LIMITED LIABILITY CORP","BONE SPRING","CONCHO"
"30015415070100","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.676639533,-103.901295074,"32.67735","-103.91537","NEW MEXICO 1855","DEVON ENERGY PRODUCTION COMPANY L P","BONE SPRING","DEVON"
"30025403880100","BONE SPRING","PERMIAN BASIN","NEW MEXICO","LEA",32.695681227,-103.523901084,"32.68324","-103.52346","NEW MEXICO 1855","COG OPERATING LIMITED LIABILITY CORP","BONE SPRING","CONCHO"
"30015414170000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.567406739,-104.105154234,"32.56742","-104.08922","NEW MEXICO 1855","MEWBOURNE OIL COMPANY","BONE SPRING","MEWBOURNE"
"30015385940000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.536271746,-104.192777394,"32.52344","-104.19253","NEW MEXICO 1855","COG OPERATING LIMITED LIABILITY CORP","BONE SPRING","CONCHO"
"30015401620100","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.20913048,-104.184132994,"32.19607","-104.18535","NEW MEXICO 1855","COG PRODUCTION LLC","BONE SPRING","COG PRODUCTION LLC"
"30025406800000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","LEA",32.567237985,-103.76465645,"32.57932","-103.7636","NEW MEXICO 1855","FASKEN OIL AND RANCH LTD","BONE SPRING","FASKEN"
"30015407580000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.517414865,-104.170641694,"32.51799","-104.16706","NEW MEXICO 1855","DEVON ENERGY PRODUCTION COMPANY L P","BONE SPRING","DEVON"
"30025404860000","BONE SPRING UPPER","PERMIAN BASIN","NEW MEXICO","LEA",32.180489218,-103.51033945,"32.16002","-103.50968","NEW MEXICO 1855","EOG RESOURCES INCORPORATED","BONE SPRING UPPER","EOG"
"30015410280000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.61423749,-104.002137594,"32.61556","-103.98617","NEW MEXICO 1855","COG OPERATING LIMITED LIABILITY CORP","BONE SPRING","CONCHO"
"30015395780000","YESO UPPER / GLORIETA","PERMIAN BASIN","NEW MEXICO","EDDY",32.828921975,-104.018236201,"32.82824","-104.00344","NEW MEXICO 1855","COG OPERATING LIMITED LIABILITY CORP","YESO UPPER / GLORIETA","CONCHO"
"30015390730000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.065726777,-103.742809705,"32.0784","-103.74311","NEW MEXICO 1855","DEVON ENERGY PRODUCTION COMPANY L P","BONE SPRING","DEVON"
"30005291100100","ABO /SH/","PERMIAN BASIN","NEW MEXICO","CHAVES",33.025767501,-103.8347884,"33.02417","-103.81897","NEW MEXICO 1855","EOG Y RESOURCES INC","ABO /SH/","EOG"
"30015390580000","YESO / GLORIETA","PERMIAN BASIN","NEW MEXICO","EDDY",32.599250076,-104.499934089,"32.60872","-104.4993","NEW MEXICO 1855","MEWBOURNE OIL COMPANY","YESO / GLORIETA","MEWBOURNE"
"30025404150000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","LEA",32.049704039,-103.682124148,"32.03632","-103.68074","NEW MEXICO 1855","CONOCOPHILLIPS COMPANY","BONE SPRING","CONOCOPHILLIPS"
"30015376440000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.234135056,-104.014184082,"32.23303","-103.99868","NEW MEXICO 1855","OXY USA INC","BONE SPRING","OXY"
"30025409870100","BONE SPRING","PERMIAN BASIN","NEW MEXICO","LEA",32.415555055,-103.700494465,"32.41525","-103.68029","NEW MEXICO 1855","CENTENNIAL RESOURCES PROD LLC","BONE SPRING","CENTENNIAL"
"30025404070100","BONE SPRING UPPER","PERMIAN BASIN","NEW MEXICO","LEA",32.093414257,-103.609171534,"32.08059","-103.60841","NEW MEXICO 1855","COG OPERATING LIMITED LIABILITY CORP","BONE SPRING UPPER","CONCHO"
"30015406930100","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.511707433,-104.169123203,"32.51102","-104.15233","NEW MEXICO 1855","DEVON ENERGY PRODUCTION COMPANY L P","BONE SPRING","DEVON"
"30015377000100","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.151182645,-103.922320443,"32.13832","-103.92171","NEW MEXICO 1855","XTO ENERGY INCORPORATED","BONE SPRING","EXXON"
"30015382370000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.666484527,-103.900800714,"32.66619","-103.91541","NEW MEXICO 1855","DEVON ENERGY PRODUCTION COMPANY L P","BONE SPRING","DEVON"
"30025405490000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","LEA",32.68291783,-103.53713383,"32.69586","-103.53673","NEW MEXICO 1855","DEVON ENERGY PRODUCTION COMPANY L P","BONE SPRING","DEVON"
"30015394550100","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.077879819,-103.949536165,"32.06494","-103.94811","NEW MEXICO 1855","COG PRODUCTION LLC","BONE SPRING","COG PRODUCTION LLC"
"30025404420000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","LEA",32.050596423,-103.70289323,"32.0638","-103.70218","NEW MEXICO 1855","MEWBOURNE OIL COMPANY","BONE SPRING","MEWBOURNE"
"30015411160000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.359812089,-103.827920903,"32.35754","-103.84128","NEW MEXICO 1855","DEVON ENERGY PRODUCTION COMPANY L P","BONE SPRING","DEVON"
"30025399010100","BONE SPRING","PERMIAN BASIN","NEW MEXICO","LEA",32.034554361,-103.670170792,"32.02171","-103.66956","NEW MEXICO 1855","MEWBOURNE OIL COMPANY","BONE SPRING","MEWBOURNE"
"30015384210100","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.648769772,-104.104609116,"32.64857","-104.08904","NEW MEXICO 1855","DEVON ENERGY PRODUCTION COMPANY L P","BONE SPRING","DEVON"
"30015389810100","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.094060085,-104.116599819,"32.10675","-104.11606","NEW MEXICO 1855","COG OPERATING LIMITED LIABILITY CORP","BONE SPRING","CONCHO"
"30015395760000","YESO UPPER / GLORIETA","PERMIAN BASIN","NEW MEXICO","EDDY",32.824858947,-104.01854618,"32.82462","-104.00339","NEW MEXICO 1855","COG OPERATING LIMITED LIABILITY CORP","YESO UPPER / GLORIETA","CONCHO"
"30025404230100","BONE SPRING","PERMIAN BASIN","NEW MEXICO","LEA",32.064043338,-103.659510546,"32.05106","-103.65916","NEW MEXICO 1855","COG PRODUCTION LLC","BONE SPRING","COG PRODUCTION LLC"
"30015415330000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.049186876,-104.094361329,"32.03594","-104.09375","NEW MEXICO 1855","COG OPERATING LIMITED LIABILITY CORP","BONE SPRING","CONCHO"
"30015405680000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.021362051,-103.975048171,"32.03403","-103.97459","NEW MEXICO 1855","RKI EXPLORATION & PRODUCTION LLC","BONE SPRING","WPX"
"30015405890000","YESO / GLORIETA","PERMIAN BASIN","NEW MEXICO","EDDY",32.748493134,-104.411832079,"32.74891","-104.39626","NEW MEXICO 1855","MURCHISON OIL & GAS INCORPORATED","YESO / GLORIETA","MURCHISON"
"30025383120100","GRAYBURG / SAN ANDRES","PERMIAN BASIN","NEW MEXICO","LEA",32.598104446,-103.264218533,"32.60939","-103.26494","NEW MEXICO 1855","APACHE CORPORATION","GRAYBURG / SAN ANDRES","APACHE"
"30015384820100","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.68308688,-103.90092869,"32.69553","-103.90107","NEW MEXICO 1855","DEVON ENERGY PRODUCTION COMPANY L P","BONE SPRING","DEVON"
"30015409730000","YESO UPPER / GLORIETA","PERMIAN BASIN","NEW MEXICO","EDDY",32.820893056,-104.004407054,"32.82087","-104.01801","NEW MEXICO 1855","COG OPERATING LIMITED LIABILITY CORP","YESO UPPER / GLORIETA","CONCHO"
"30025410800100","BONE SPRING","PERMIAN BASIN","NEW MEXICO","LEA",32.465285961,-103.586695573,"32.46519","-103.60162","NEW MEXICO 1855","COG OPERATING LIMITED LIABILITY CORP","BONE SPRING","CONCHO"
"30015413540000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.623810222,-104.122292544,"32.62348","-104.1372","NEW MEXICO 1855","MEWBOURNE OIL COMPANY","BONE SPRING","MEWBOURNE"
"30025369290100","DELAWARE","PERMIAN BASIN","NEW MEXICO","LEA",32.102688931,-103.46415243,"32.09367","-103.46276","NEW MEXICO 1855","EOG RESOURCES INCORPORATED","DELAWARE","EOG"
"30015377100000","YESO / GLORIETA","PERMIAN BASIN","NEW MEXICO","EDDY",32.617686469,-104.465097918,"32.61059","-104.46456","NEW MEXICO 1855","MEWBOURNE OIL COMPANY","YESO / GLORIETA","MEWBOURNE"
"30015377100000","YESO","PERMIAN BASIN","NEW MEXICO","EDDY",32.617686469,-104.465097918,"32.61059","-104.46456","NEW MEXICO 1855","MEWBOURNE OIL COMPANY","YESO","MEWBOURNE"
"30025410590100","DELAWARE","PERMIAN BASIN","NEW MEXICO","LEA",32.04962101,-103.388244311,"32.03684","-103.38763","NEW MEXICO 1855","OXY USA INC","DELAWARE","OXY"
"30015413940000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.710069854,-103.967434435,"32.70845","-103.95188","NEW MEXICO 1855","MEWBOURNE OIL COMPANY","BONE SPRING","MEWBOURNE"
"30015389590100","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.741772989,-104.010189354,"32.74149","-103.99475","NEW MEXICO 1855","EOG RESOURCES INCORPORATED","BONE SPRING","EOG"
"30025409820000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","LEA",32.267828121,-103.442923897,"32.25454","-103.44131","NEW MEXICO 1855","MEWBOURNE OIL COMPANY","BONE SPRING","MEWBOURNE"
"30025397630100","BONE SPRING","PERMIAN BASIN","NEW MEXICO","LEA",32.611199048,-103.55558377,"32.61043","-103.53997","NEW MEXICO 1855","CIMAREX ENERGY CO OF COLORADO","BONE SPRING","CIMAREX"
"30025402810000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","LEA",32.036403442,-103.689859606,"32.04904","-103.68967","NEW MEXICO 1855","CONOCOPHILLIPS COMPANY","BONE SPRING","CONOCOPHILLIPS"
"30015384760000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.623697555,-104.090849671,"32.61094","-104.0892","NEW MEXICO 1855","DEVON ENERGY PRODUCTION COMPANY L P","BONE SPRING","DEVON"
"30025013740100","ABO /SH/","PERMIAN BASIN","NEW MEXICO","LEA",32.789270393,-103.662711517,"32.78999","-103.65338","NEW MEXICO 1855","LIME ROCK RESOURCES A LP","ABO /SH/","LIME ROCK"
"30015407540000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.236002945,-104.000003171,"32.23486","-103.98157","NEW MEXICO 1855","EOG Y RESOURCES INC","BONE SPRING","EOG"
"30015405800000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.122637514,-103.89347667,"32.1085","-103.89297","NEW MEXICO 1855","BOPCO LIMITED PARTNERSHIP","BONE SPRING","BOPCO"
"30015414240000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.349478926,-103.833982139,"32.3498","-103.80895","NEW MEXICO 1855","BOPCO LIMITED PARTNERSHIP","BONE SPRING","BOPCO"
"30015407480100","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.13674843,-103.763707452,"32.12385","-103.7683","NEW MEXICO 1855","DEVON ENERGY PRODUCTION COMPANY L P","BONE SPRING","DEVON"
"30015405150000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.626912238,-104.089549632,"32.62674","-104.10404","NEW MEXICO 1855","DEVON ENERGY PRODUCTION COMPANY L P","BONE SPRING","DEVON"
"30015375100000","DELAWARE","PERMIAN BASIN","NEW MEXICO","EDDY",32.403736394,-103.740675109,"32.4035","-103.75541","NEW MEXICO 1855","EOG Y RESOURCES INC","DELAWARE","EOG"
"30015379400000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.107197073,-104.133353478,"32.09427","-104.13247","NEW MEXICO 1855","COG OPERATING LIMITED LIABILITY CORP","BONE SPRING","CONCHO"
"30015374160100","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.109944626,-104.099701696,"32.12148","-104.09831","NEW MEXICO 1855","COG OPERATING LIMITED LIABILITY CORP","BONE SPRING","CONCHO"
"30025403080000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","LEA",32.506991303,-103.609555871,"32.48696","-103.60881","NEW MEXICO 1855","CIMAREX ENERGY CO OF COLORADO","BONE SPRING","CIMAREX"
"30015405220000","DELAWARE","PERMIAN BASIN","NEW MEXICO","EDDY",32.487148635,-104.142149899,"32.47385","-104.14035","NEW MEXICO 1855","DEVON ENERGY PRODUCTION COMPANY L P","DELAWARE","DEVON"
"30025411420000","BONE SPRING UPPER","PERMIAN BASIN","NEW MEXICO","LEA",32.064369377,-103.58460108,"32.05155","-103.58344","NEW MEXICO 1855","MEWBOURNE OIL COMPANY","BONE SPRING UPPER","MEWBOURNE"
"30015379680000","DELAWARE","PERMIAN BASIN","NEW MEXICO","EDDY",32.253184863,-103.995858566,"32.25214","-103.98174","NEW MEXICO 1855","EOG Y RESOURCES INC","DELAWARE","EOG"
"30015385220100","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.005249653,-104.049637136,"32.00473","-104.06543","NEW MEXICO 1855","EOG Y RESOURCES INC","BONE SPRING","EOG"
"30015390710000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.065726977,-103.7426483,"32.07841","-103.74111","NEW MEXICO 1855","DEVON ENERGY PRODUCTION COMPANY L P","BONE SPRING","DEVON"
"30015390380100","WOLFCAMP","PERMIAN BASIN","NEW MEXICO","EDDY",32.051574047,-104.073021457,"32.06234","-104.07253","NEW MEXICO 1855","COG OPERATING LIMITED LIABILITY CORP","WOLFCAMP","CONCHO"
"30025381010000","DELAWARE","PERMIAN BASIN","NEW MEXICO","LEA",32.472358485,-103.702253392,"32.48492","-103.70291","NEW MEXICO 1855","EOG Y RESOURCES INC","DELAWARE","EOG"
"30015406380000","YESO UPPER / GLORIETA","PERMIAN BASIN","NEW MEXICO","EDDY",32.819616814,-104.053020275,"32.81908","-104.03751","NEW MEXICO 1855","COG OPERATING LIMITED LIABILITY CORP","YESO UPPER / GLORIETA","CONCHO"
"30025399830100","BONE SPRING","PERMIAN BASIN","NEW MEXICO","LEA",32.130879924,-103.476283673,"32.14375","-103.47577","NEW MEXICO 1855","EOG RESOURCES INCORPORATED","BONE SPRING","EOG"
"30015402450000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.269737397,-104.060228173,"32.28226","-104.06107","NEW MEXICO 1855","CHEVRON MIDCONTINENT LIMITED PARTNERSHIP","BONE SPRING","CHEVRON"
"30015413220000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.049160695,-103.892631334,"32.03604","-103.89145","NEW MEXICO 1855","RKI EXPLORATION & PRODUCTION LLC","BONE SPRING","WPX"
"30015379040100","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.063322359,-103.973887224,"32.05033","-103.97362","NEW MEXICO 1855","COG OPERATING LIMITED LIABILITY CORP","BONE SPRING","CONCHO"
"30025409770100","BONE SPRING","PERMIAN BASIN","NEW MEXICO","LEA",32.696418663,-103.55027259,"32.68283","-103.54964","NEW MEXICO 1855","COG OPERATING LIMITED LIABILITY CORP","BONE SPRING","CONCHO"
"30015386740000","YESO / GLORIETA","PERMIAN BASIN","NEW MEXICO","EDDY",32.599413778,-104.499771383,"32.58887","-104.49929","NEW MEXICO 1855","MEWBOURNE OIL COMPANY","YESO / GLORIETA","MEWBOURNE"
"30015386650100","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.050739374,-103.897017565,"32.06322","-103.89663","NEW MEXICO 1855","EOG Y RESOURCES INC","BONE SPRING","EOG"
"30015402170000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.638794279,-104.084182946,"32.62532","-104.08319","NEW MEXICO 1855","DEVON ENERGY PRODUCTION COMPANY L P","BONE SPRING","DEVON"
"30015386750000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.268323216,-104.059670501,"32.25505","-104.05929","NEW MEXICO 1855","MEWBOURNE OIL COMPANY","BONE SPRING","MEWBOURNE"
"30025408420000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","LEA",32.668438818,-103.529049099,"32.68101","-103.52839","NEW MEXICO 1855","CIMAREX ENERGY COMPANY","BONE SPRING","CIMAREX"
"30025396320000","ABO /SH/","PERMIAN BASIN","NEW MEXICO","LEA",32.85571417,-103.486504503,"32.84416","-103.48626","NEW MEXICO 1855","MEWBOURNE OIL COMPANY","ABO /SH/","MEWBOURNE"
"30025403480100","BONE SPRING LM","PERMIAN BASIN","NEW MEXICO","LEA",32.487901774,-103.485671661,"32.48761","-103.49916","NEW MEXICO 1855","COG OPERATING LIMITED LIABILITY CORP","BONE SPRING LM","CONCHO"
"30015384830000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.683056325,-103.906567195,"32.69556","-103.90556","NEW MEXICO 1855","DEVON ENERGY PRODUCTION COMPANY L P","BONE SPRING","DEVON"
"30015376820000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.10952924,-104.016511424,"32.12189","-104.01599","NEW MEXICO 1855","COG OPERATING LIMITED LIABILITY CORP","BONE SPRING","CONCHO"
"30015391580000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.623732268,-104.099132675,"32.61083","-104.09851","NEW MEXICO 1855","CIMAREX ENERGY CO OF COLORADO","BONE SPRING","CIMAREX"
"30015414590100","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.363797009,-103.739630184,"32.36413","-103.7236","NEW MEXICO 1855","OXY USA INC","BONE SPRING","OXY"
"30015407930000","DELAWARE","PERMIAN BASIN","NEW MEXICO","EDDY",32.163106982,-104.256195202,"32.15266","-104.25583","NEW MEXICO 1855","MURCHISON OIL & GAS INCORPORATED","DELAWARE","MURCHISON"
"30015383180100","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.06980796,-104.01399938,"32.06956","-103.99825","NEW MEXICO 1855","COG OPERATING LIMITED LIABILITY CORP","BONE SPRING","CONCHO"
"30015372570100","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.676213537,-103.901293659,"32.67572","-103.91547","NEW MEXICO 1855","DEVON ENERGY PRODUCTION COMPANY L P","BONE SPRING","DEVON"
"30015411850000","DELAWARE","PERMIAN BASIN","NEW MEXICO","EDDY",32.135753014,-103.825165494,"32.13574","-103.85065","NEW MEXICO 1855","BOPCO LIMITED PARTNERSHIP","DELAWARE","BOPCO"
"30025397680100","BONE SPRING","PERMIAN BASIN","NEW MEXICO","LEA",32.048772016,-103.414057013,"32.04852","-103.3986","NEW MEXICO 1855","EOG Y RESOURCES INC","BONE SPRING","EOG"
"30005291140200","WOLFCAMP","PERMIAN BASIN","NEW MEXICO","CHAVES",33.054159574,-103.799831828,"33.05336","-103.78088","NEW MEXICO 1855","MARSHALL & WINSTON INCORPORATED","WOLFCAMP","MARSHALL & WINSTON INCORPORATED"
"30015397950000","DELAWARE","PERMIAN BASIN","NEW MEXICO","EDDY",32.095932069,-103.77876467,"32.10736","-103.79172","NEW MEXICO 1855","BOPCO LIMITED PARTNERSHIP","DELAWARE","BOPCO"
"30015395750000","YESO UPPER / GLORIETA","PERMIAN BASIN","NEW MEXICO","EDDY",32.831847717,-104.01870313,"32.83194","-104.00352","NEW MEXICO 1855","COG OPERATING LIMITED LIABILITY CORP","YESO UPPER / GLORIETA","CONCHO"
